obs_id,day,latitude,near_equator,northern,southern,first_3m,last_3m,middle_6m,snowfall,good_skiing,day_num
357,2023-03-05,25,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,64
57,2023-01-08,5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,8
251,2023-02-12,50,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,14.867681878437836,TRUE,43
1936,2023-12-31,-35,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,365
1144,2023-07-30,75,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,211
177,2023-01-29,50,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,12.08031904070289,TRUE,29
1689,2023-11-12,25,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,316
1120,2023-07-30,-45,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,7.162145790495038,TRUE,211
621,2023-04-23,50,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,113
1289,2023-08-27,60,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,239
952,2023-06-25,40,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,176
106,2023-01-15,65,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,7.810540281173991,TRUE,15
1014,2023-07-09,-20,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,190
634,2023-04-30,-70,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,9.152249753563988,TRUE,120
638,2023-04-30,-50,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,10.618601675288824,TRUE,120
1164,2023-08-06,-10,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,218
1636,2023-11-05,-55,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,FALSE,309
127,2023-01-22,-15,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,22
768,2023-05-21,45,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,141
1399,2023-09-17,55,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,260
231,2023-02-12,-50,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,43
1343,2023-09-10,-40,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,8.130477944662102,TRUE,253
1915,2023-12-24,45,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,9.057623662878301,TRUE,358
1587,2023-10-22,70,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,7.3576817533341226,TRUE,295
593,2023-04-23,-90,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,11.727134623030107,TRUE,113
310,2023-02-26,-25,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,57
1112,2023-07-30,-85,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,12.645717643142396,TRUE,211
491,2023-04-02,-45,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,8.536153076959272,TRUE,92
909,2023-06-18,10,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,169
138,2023-01-22,40,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,10.058411389043647,TRUE,22
1556,2023-10-22,-85,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,FALSE,295
1779,2023-12-03,-80,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,FALSE,337
1751,2023-11-26,-35,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,330
122,2023-01-22,-40,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,22
1048,2023-07-16,-35,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,197
661,2023-04-30,65,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,120
880,2023-06-11,50,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,162
66,2023-01-08,50,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,10.486741115583502,TRUE,8
1644,2023-11-05,-15,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,309
1606,2023-10-29,-20,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,302
702,2023-05-07,85,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,127
1707,2023-11-19,-70,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,FALSE,323
14,2023-01-01,-25,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,1
743,2023-05-21,-80,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,8.798072171330137,TRUE,141
532,2023-04-09,-25,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,99
1198,2023-08-13,-25,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,225
417,2023-03-19,-45,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,78
197,2023-02-05,-35,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,36
1932,2023-12-31,-55,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,FALSE,365
1246,2023-08-20,30,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,232
1676,2023-11-12,-40,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,FALSE,316
1755,2023-11-26,-15,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,330
786,2023-05-28,-50,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,8.6244638968707,TRUE,148
